GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FitnesseExample,com.sample.fitnesse.FitnesseExample,Calculator,86,0,6,0,24,0,12,0,9,0
FitnesseExample,com.sample.fitnesse.FitnesseExample,App,7,0,0,0,3,0,2,0,2,0
